date,wd,A1,A2,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,B1,B2,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,C1,C2,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D
2019-01-25,(五),31301.0,31301.0,30077.0,30077.0,29521.0,32.0,556.0,8043.0,15665.0,5461.0,931.0,14.0,79.0,227.0,32.0,123.96,123.96,123.09,123.08,123.72,65.76,89.45,107.9,124.49,142.09,166.61,161.6,163.7,167.17,162.09,69.0,69.0,69.49,69.49,69.62,0.0,0.13,35.38,59.96,68.16,69.93,70.49,67.67,76.82,74.96,67.2,71.09
2019-01-26,(六),23420.0,23302.0,22575.0,22575.0,22162.0,15.0,413.0,6511.0,11503.0,3824.0,726.0,19.0,118.0,135.0,52.0,123.33,123.33,122.56,122.56,123.17,69.09,89.84,107.77,124.34,142.23,165.82,160.6,167.8,167.27,163.15,71.78,71.77,72.09,72.09,72.22,0.0,0.13,37.02,62.47,70.3,72.84,73.37,69.69,75.17,72.18,64.62,72.08
2019-01-27,(日),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,(一),32252.0,32126.0,30921.0,30921.0,30175.0,69.0,746.0,8460.0,16181.0,5246.0,921.0,0.0,137.0,151.0,0.0,123.41,123.42,122.53,122.53,123.36,66.05,88.81,107.84,124.44,142.73,166.46,0.0,165.3,167.02,0.0,69.11,69.09,69.48,69.48,69.64,0.0,0.16,32.64,60.17,70.25,68.88,70.67,69.29,0.0,75.08,72.99,0.0
2019-01-29,(二),32051.0,32051.0,30888.0,30888.0,30040.0,46.0,848.0,9149.0,15478.0,5144.0,854.0,16.0,86.0,122.0,45.0,122.5,122.5,121.71,121.71,122.62,66.57,89.34,107.66,124.19,142.21,166.14,165.75,165.8,167.64,166.87,68.52,68.52,68.89,68.89,69.11,0.0,0.22,34.47,58.32,67.66,69.66,69.15,69.76,81.82,82.62,73.53,71.86
2019-01-30,(三),34239.0,34100.0,33000.0,33000.0,32446.0,48.0,554.0,8599.0,17865.0,5634.0,876.0,24.0,94.0,185.0,45.0,123.71,123.72,123.05,123.05,123.63,62.52,89.18,108.11,124.43,142.03,166.93,165.04,166.8,169.52,166.16,68.89,68.86,69.21,69.21,69.33,0.0,0.12,29.12,60.06,67.98,69.51,70.15,69.17,66.79,76.28,71.52,71.73
2019-01-31,(四),34654.0,34654.0,33557.0,33557.0,32930.0,25.0,627.0,8731.0,17868.0,5983.0,928.0,14.0,107.0,194.0,33.0,123.78,123.78,123.1,123.1,123.75,68.18,89.17,108.08,124.39,142.25,165.66,162.32,165.5,167.13,161.67,70.16,70.16,70.4,70.39,70.53,-0.01,0.13,36.21,60.67,68.81,70.77,71.73,71.24,80.13,75.14,68.81,72.2
2019-02-01,(五),39303.0,39129.0,37792.0,37792.0,37188.0,35.0,604.0,9832.0,19796.0,7016.0,1294.0,19.0,185.0,314.0,26.0,124.39,124.39,123.61,123.61,124.16,62.68,89.89,108.24,124.42,142.28,166.87,161.76,168.4,169.23,165.62,69.83,69.81,70.06,70.06,70.16,0.0,0.1,30.11,61.78,68.49,70.39,71.16,71.26,80.96,77.1,69.54,70.66
2019-02-02,(六),35614.0,35614.0,34528.0,34528.0,34083.0,13.0,445.0,8865.0,18962.0,5804.0,1096.0,12.0,151.0,240.0,49.0,124.21,124.21,123.36,123.36,123.8,68.48,89.91,108.42,124.34,142.19,165.03,159.0,166.7,167.24,164.29,71.52,71.52,71.75,71.75,71.83,0.0,0.08,46.06,64.04,70.74,72.08,72.51,71.66,75.66,72.6,67.55,75.2
2019-02-03,(日),14188.0,13998.0,13742.0,13742.0,13581.0,6.0,161.0,4048.0,7479.0,1995.0,159.0,2.0,11.0,27.0,19.0,122.04,122.04,121.8,121.8,122.18,63.27,89.59,108.34,124.14,141.7,162.23,186.0,164.9,161.28,160.53,73.21,73.18,73.36,73.36,73.42,0.0,0.06,36.47,66.18,72.32,73.96,73.59,70.83,44.72,70.77,61.54,73.79
2019-02-04,(一),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-05,(二),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-06,(三),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-07,(四),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-08,(五),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-09,(六),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-10,(日),21916.0,21916.0,21320.0,21320.0,20845.0,15.0,475.0,5554.0,11653.0,3486.0,424.0,3.0,124.0,25.0,0.0,123.02,123.02,122.61,122.61,123.38,67.57,88.7,108.03,124.62,141.88,163.5,156.66,165.5,163.52,0.0,67.03,67.03,67.27,67.26,67.43,-0.01,0.16,33.78,57.39,66.35,67.75,67.7,68.3,75.06,69.87,63.93,0.0
