title,author,star,price,src,href,rank,year
成為這樣的我：蜜雪兒‧歐巴馬,蜜雪兒‧歐巴馬,4.5,345,https://kbimages1-a.akamaihd.net/813fa7a7-0895-49da-afcd-309619f2ecf9/140/215/60/False/AGihqU8SITG2HZm0CYvq1Q.jpg,https://www.kobo.com/tw/zh/ebook/AGihqU8SITG2HZm0CYvq1Q,81,2019
起床後的黃金1小時：揭開64位成功人士培養高效率的祕密時光，從他們的創意晨型活動中，建立屬於自己的高生產力、高抗壓生活習慣,班傑明．史鮑(Benjamin Spall)、麥可．桑德(Michael Xander),5.0,199,https://kbimages1-a.akamaihd.net/7bf8b1f5-0b7f-409f-855d-02855e75e390/140/215/60/False/kW9AVCcdgzynezK86dZC6g.jpg,https://www.kobo.com/tw/zh/ebook/kW9AVCcdgzynezK86dZC6g,82,2019
永久檔案,愛德華．史諾登 Edward Snowden,4.0,232,https://kbimages1-a.akamaihd.net/4d14ac93-7e85-4b70-a59a-a8ff87bd40a0/140/215/60/False/uoWFqH14NDyC40H4hITjKg.jpg,https://www.kobo.com/tw/zh/ebook/uoWFqH14NDyC40H4hITjKg,83,2019
給力,珮蒂．麥寇德,4.5,177,https://kbimages1-a.akamaihd.net/3785c159-f921-459e-ad2b-4511f13177aa/140/215/60/False/LmdwFmXRyDSopQh3YSbfBQ.jpg,https://www.kobo.com/tw/zh/ebook/LmdwFmXRyDSopQh3YSbfBQ,84,2019
一流的人如何保持顛峰,布萊德．史托伯格 Brad Stulberg,4.5,226,https://kbimages1-a.akamaihd.net/9c8b7c26-eb70-4c1f-b89e-5c0bf07edcf5/140/215/60/False/jsBZ_iLQOzieRiE9XICpwg.jpg,https://www.kobo.com/tw/zh/ebook/jsBZ_iLQOzieRiE9XICpwg,85,2019
經濟學的40堂公開課：倫敦政經學院教授，生動剖析經濟學家如何思考，讓經濟學成為改變世界的力量,奈爾．傑斯坦尼(Niall Kishtainy),4.0,188,https://kbimages1-a.akamaihd.net/8f02f6d2-c0b5-4f4b-8aae-891ced05712a/140/215/60/False/LGjgTAItFDCFrlPs7MwyLQ.jpg,https://www.kobo.com/tw/zh/ebook/LGjgTAItFDCFrlPs7MwyLQ,86,2019
80/20法則（20週年擴充新版）,理查．柯克,4.0,249,https://kbimages1-a.akamaihd.net/a8cab3cf-e13b-40f8-8cb5-2a6cf483114b/140/215/60/False/F68QdmIU3zmEfLEnIZT4Aw.jpg,https://www.kobo.com/tw/zh/ebook/F68QdmIU3zmEfLEnIZT4Aw,87,2019
行為：暴力、競爭、利他，人類行為背後的生物學,羅伯．薩波斯基 ROBERT M. SAPOLSKY,4.5,714,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/hrZoaRE2VTi6cj1McaCX7w,88,2019
心流：高手都在研究的最優體驗心理學,米哈里．契克森米哈伊 Mihaly Csikszentmihalyi,4.0,309,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/tPzkGhS52zmRv3pnnEHrXg,89,2019
被討厭的勇氣 二部曲完結篇：人生幸福的行動指南,岸見一郎,4.5,190,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/3aFL-MVFNTimHucupnWv_Q,90,2019
我殺的人與殺我的人,東山彰良,4.5,166,https://kbimages1-a.akamaihd.net/18c606e3-27e5-4c9e-8e5d-a03bb41fc0b6/140/215/60/False/831wd8FydDqm7rBJoL1PnQ.jpg,https://www.kobo.com/tw/zh/ebook/831wd8FydDqm7rBJoL1PnQ,91,2019
毒家企業,湯姆・溫萊特 Tom Wainwright,5.0,255,https://kbimages1-a.akamaihd.net/0051cdc6-111c-4c84-a3e8-0201ff7cb25c/140/215/60/False/szqWf3iorD2jYVcqOT71pQ.jpg,https://www.kobo.com/tw/zh/ebook/szqWf3iorD2jYVcqOT71pQ,92,2019
陸王,池井戶潤,5.0,268,https://kbimages1-a.akamaihd.net/6e50e516-a4cb-475c-8d9c-85233f250a78/140/215/60/False/Hilb3scc8jKhZr5fINPE7A.jpg,https://www.kobo.com/tw/zh/ebook/Hilb3scc8jKhZr5fINPE7A,93,2019
"精準提問的力量: 問對問題, 就解決一半的問題! 風靡美國政商學界的11種提問思考教你挖掘真相×扭轉逆勢×創造全新格局",法蘭克．賽斯諾 Frank Sesno,4.5,190,https://kbimages1-a.akamaihd.net/9927eae4-3194-4d7f-99cf-3062e366f321/140/215/60/False/jJ8t8VIxKTSLIBaEOCaqMQ.jpg,https://www.kobo.com/tw/zh/ebook/jJ8t8VIxKTSLIBaEOCaqMQ,94,2019
解決問題的商業框架圖鑑,AND股份有限公司,4.5,274,https://kbimages1-a.akamaihd.net/975103a7-332c-42b0-9dc1-787a3a2edbb2/140/215/60/False/_EuGtnro_T63ixmsd4jLOA.jpg,https://www.kobo.com/tw/zh/ebook/_EuGtnro_T63ixmsd4jLOA,95,2019
薩提爾的對話練習：以好奇的姿態，理解你的內在冰山，探索自己，連結他人,李崇建,4.5,221,https://kbimages1-a.akamaihd.net/a1629cf5-b5e1-46a5-b23e-12697c8b1b5b/140/215/60/False/GH2bhdK9MTOy28eyh6jzcQ.jpg,https://www.kobo.com/tw/zh/ebook/GH2bhdK9MTOy28eyh6jzcQ,96,2019
暴政：掌控關鍵年代的獨裁風潮，洞悉時代之惡的20堂課,提摩希‧史奈德,4.0,134,https://kbimages1-a.akamaihd.net/fba24c9f-c81c-4792-9de2-66657e2fae45/140/215/60/False/sGS78d71UzuW8ll6ZeBvGw.jpg,https://www.kobo.com/tw/zh/ebook/sGS78d71UzuW8ll6ZeBvGw,97,2019
風險之書：看人類如何探索、衡量，進而戰勝風險,彼得．伯恩斯坦,5.0,277,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/_QoeTFSL4jurPc428psqVg,98,2019
時光邊緣的男人,麥特．海格,4.5,220,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/_62TwAFWhzenAJFHTkevtA,99,2019
可複製的領導力：300萬付費會員推崇，樊登的九堂商業課,樊登,4.5,179,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/2uvlHXUrFza6yn70dBvp6g,100,2019
