ip,port,err,checkurl,g_idx
167.99.47.68,8080,"Cannot connect to host 167.99.47.68:8080 ssl:default [Connect call failed ('167.99.47.68', 8080)]",https://whatismyipaddress.com/zh-cn/index,21
167.99.47.68,8080,"Cannot connect to host 167.99.47.68:8080 ssl:default [Connect call failed ('167.99.47.68', 8080)]",https://www.whatismyip.com.tw/tw/,21
167.99.47.68,8080,"Cannot connect to host 167.99.47.68:8080 ssl:default [Connect call failed ('167.99.47.68', 8080)]",https://www.rus.net.tw/myip.php,21
167.99.47.68,8080,"Cannot connect to host 167.99.47.68:8080 ssl:default [Connect call failed ('167.99.47.68', 8080)]",https://www.myip.com/,21
167.99.47.68,8080,"Cannot connect to host 167.99.47.68:8080 ssl:default [Connect call failed ('167.99.47.68', 8080)]",http://210.240.175.62/NTIIS/IP_test.asp,21
167.99.47.68,8080,"Cannot connect to host 167.99.47.68:8080 ssl:default [Connect call failed ('167.99.47.68', 8080)]",https://www.whatismyip.com/,21
167.99.47.68,8080,"Cannot connect to host 167.99.47.68:8080 ssl:default [Connect call failed ('167.99.47.68', 8080)]",https://httpbin.org/ip,21
168.119.103.160,10303,Server disconnected,https://httpbin.org/ip,22
168.119.103.160,10303,Server disconnected,https://www.whatismyip.com.tw/tw/,22
168.119.103.160,10303,Server disconnected,https://whatismyipaddress.com/zh-cn/index,22
168.119.103.160,10303,Server disconnected,https://www.myip.com/,22
168.119.103.160,10303,Server disconnected,https://www.rus.net.tw/myip.php,22
168.119.103.160,10303,Server disconnected,https://www.whatismyip.com/,22
168.119.103.160,10303,"status=200, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,22
169.57.1.85,80,"403, message='Forbidden', url=URL('http://169.57.1.85:80')",https://www.rus.net.tw/myip.php,23
169.57.1.85,80,Server disconnected,https://www.whatismyip.com.tw/tw/,23
169.57.1.85,80,"status=200, or ip not show in checkurl",https://whatismyipaddress.com/zh-cn/index,23
169.57.1.85,80,"status=200, or ip not show in checkurl",https://www.whatismyip.com/,23
169.57.1.85,80,"status=200, or ip not show in checkurl",https://httpbin.org/ip,23
169.57.1.85,80,"status=200, or ip not show in checkurl",https://www.myip.com/,23
169.57.1.85,80,"status=403, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,23
176.197.95.2,3128,"Cannot connect to host 176.197.95.2:3128 ssl:default [Connect call failed ('176.197.95.2', 3128)]",https://www.whatismyip.com.tw/tw/,24
176.197.95.2,3128,"Cannot connect to host 176.197.95.2:3128 ssl:default [Connect call failed ('176.197.95.2', 3128)]",https://www.rus.net.tw/myip.php,24
176.197.95.2,3128,"Cannot connect to host 176.197.95.2:3128 ssl:default [Connect call failed ('176.197.95.2', 3128)]",https://httpbin.org/ip,24
176.197.95.2,3128,"Cannot connect to host 176.197.95.2:3128 ssl:default [Connect call failed ('176.197.95.2', 3128)]",https://whatismyipaddress.com/zh-cn/index,24
176.197.95.2,3128,"Cannot connect to host 176.197.95.2:3128 ssl:default [Connect call failed ('176.197.95.2', 3128)]",https://www.whatismyip.com/,24
176.197.95.2,3128,"Cannot connect to host 176.197.95.2:3128 ssl:default [Connect call failed ('176.197.95.2', 3128)]",http://210.240.175.62/NTIIS/IP_test.asp,24
176.197.95.2,3128,Server disconnected,https://www.myip.com/,24
177.37.240.52,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,25
177.37.240.52,8080,asyncio.exceptions.TimeoutError,https://www.myip.com/,25
177.37.240.52,8080,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,25
177.37.240.52,8080,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,25
177.37.240.52,8080,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,25
177.37.240.52,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,25
177.37.240.52,8080,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,25
178.128.125.16,34027,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,26
178.128.125.16,34027,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,26
178.128.125.16,34027,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,26
178.128.125.16,34027,asyncio.exceptions.TimeoutError,https://www.myip.com/,26
178.128.125.16,34027,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,26
178.128.125.16,34027,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,26
178.128.125.16,34027,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,26
186.126.27.137,10809,Server disconnected,https://www.myip.com/,27
186.126.27.137,10809,Server disconnected,https://httpbin.org/ip,27
186.126.27.137,10809,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,27
186.126.27.137,10809,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,27
186.126.27.137,10809,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,27
186.126.27.137,10809,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,27
186.126.27.137,10809,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,27
186.226.172.165,57783,Server disconnected,https://www.whatismyip.com.tw/tw/,28
186.226.172.165,57783,[Errno 104] Connection reset by peer,https://www.rus.net.tw/myip.php,28
186.226.172.165,57783,[Errno 104] Connection reset by peer,https://www.whatismyip.com/,28
186.226.172.165,57783,[Errno 104] Connection reset by peer,https://www.myip.com/,28
186.226.172.165,57783,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,28
